"지역구분코드","행정구역시도코드","학교급구분코드","학년","사교육비총비용","학생성별코드","가중값"
1,11,1,1,139.610566424051436,2,228.780355618692
1,11,1,1,140.276148685502175,2,98.4983442084034
1,11,1,1,1407.739878109185313,1,212.315102752195
1,11,1,1,1417.0472492041220754,1,68.0416193544892
1,11,1,1,143.488637713608420333333333333333333332,1,163.371122895488
1,11,1,1,143.53623516313422,1,189.627196217977
1,11,1,1,143.53623516313422,1,190.65029634891
1,11,1,1,1438.76444842564118766666666666666666667,1,68.0416193544892
1,11,1,1,145.928505749186457,2,208.52376163162
1,11,1,1,146.203287616298309366666666666666666668,2,171.27617722914
1,11,1,1,1465.2657339569951625,1,169.905967811307
1,11,1,1,1506.333045684225231,2,72.2678068920351
1,11,1,1,151.244780292722389,1,194.622177522845
1,11,1,1,155.497588093395405,1,190.65029634891
1,11,1,1,155.497588093395405,2,190.65029634891
1,11,1,1,157.837501484969262366666666666666666668,1,212.315102752195
1,11,1,1,1587.2715338456592495,1,83.9474524503438
1,11,1,1,1588.8663809030274075,1,72.2678068920351
1,11,1,1,159.484705736815800000000000000000000001,1,169.905967811307
1,11,1,1,1596.8406161898681975,1,98.4983442084034
1,11,1,1,162.878994161393342,2,165.186357594326
1,11,1,1,163.471823380236194999999999999999999999,1,190.65029634891
1,11,1,1,164.818029806171834166666666666666666668,1,171.27617722914
1,11,1,1,1650.66670437604353,2,72.2678068920351
1,11,1,1,166.757065450950326333333333333333333332,2,165.186357594326
1,11,1,1,1669.5096901542817555,2,68.0416193544892
1,11,1,1,167.45894102365659,1,167.670362971685
1,11,1,1,167.45894102365659,1,169.905967811307
1,11,1,1,167.45894102365659,1,208.52376163162
1,11,1,1,171.446058667076985000000000000000000001,1,168.940592994197
1,11,1,1,173.4396174887871825,2,189.627196217977
1,11,1,1,174.513208030064295,1,228.780355618692
1,11,1,1,174.513208030064295,2,163.371122895488
1,11,1,1,179.420293953917775,1,208.52376163162
1,11,1,1,179.420293953917775,1,83.9474524503438
1,11,1,1,179.420293953917775,2,208.52376163162
1,11,1,1,1858.72385299969242,1,189.627196217977
1,11,1,1,186.147421898735248,1,115.427747119223
1,11,1,1,186.147421898735248,1,115.427747119223
1,11,1,1,186.147421898735248,1,163.371122895488
1,11,1,1,186.147421898735248,2,115.427747119223
1,11,1,1,186.147421898735248,2,228.780355618692
1,11,1,1,186.147421898735248,2,68.0416193544892
1,11,1,1,186.597105712074486,1,242.645831716794
1,11,1,1,188.086457543513740166666666666666666668,1,165.186357594326
1,11,1,1,188.989376298126723,2,189.627196217977
1,11,1,1,191.188914575159327633333333333333333332,1,58.3213880181336
1,11,1,1,191.38164688417896,1,189.627196217977
1,11,1,1,1939.03564477849216666666666666666666667,1,68.0416193544892
1,11,1,1,197.781635767406201,2,115.427747119223
1,11,1,1,1999.938209939670132,2,72.2678068920351
1,11,1,1,2021.468645214140265,1,72.2678068920351
1,11,1,1,203.342999814440145,2,72.2678068920351
1,11,1,1,209.415849636077154,1,194.622177522845
1,11,1,1,209.415849636077154,2,194.622177522845
1,11,1,1,210.519811572596856,1,242.645831716794
1,11,1,1,211.317235101280934999999999999999999999,2,168.940592994197
1,11,1,1,211.7159468656229745,1,242.645831716794
1,11,1,1,2133.107939229911325,1,72.2678068920351
1,11,1,1,217.171992215191122666666666666666666668,1,171.27617722914
1,11,1,1,2212.850292098319225,1,72.2678068920351
1,11,1,1,224.928134794305091333333333333333333332,1,182.042108369258
1,11,1,1,227.265705674962515,1,169.905967811307
1,11,1,1,2294.187492024095283,2,72.2678068920351
1,11,1,1,231.252823318382910000000000000000000001,1,83.9474524503438
1,11,1,1,231.252823318382910000000000000000000001,2,242.645831716794
1,11,1,1,232.68427737341906,1,165.186357594326
1,11,1,1,232.68427737341906,1,171.27617722914
1,11,1,1,232.68427737341906,2,171.27617722914
1,11,1,1,238.5013843077545365,1,182.042108369258
1,11,1,1,239.2270586052237,1,167.670362971685
1,11,1,1,239.2270586052237,1,169.905967811307
1,11,1,1,239.2270586052237,1,208.52376163162
1,11,1,1,239.2270586052237,1,83.9474524503438
1,11,1,1,239.2270586052237,2,167.670362971685
1,11,1,1,239.2270586052237,2,189.627196217977
1,11,1,1,248.196562531646997333333333333333333333,1,194.622177522845
1,11,1,1,251.188411535484885,2,190.65029634891
1,11,1,1,251.188411535484885,2,72.2678068920351
1,11,1,1,255.175529178905280000000000000000000001,2,169.905967811307
1,11,1,1,257.1690880006154775,1,189.627196217977
1,11,1,1,257.1690880006154775,1,208.52376163162
1,11,1,1,258.2795478844951566,2,165.186357594326
1,11,1,1,261.7698120450964425,2,171.27617722914
1,11,1,1,263.14976446574607,1,72.2678068920351
1,11,1,1,263.14976446574607,2,167.670362971685
1,11,1,1,263.14976446574607,2,208.52376163162
1,11,1,1,263.14976446574607,2,242.645831716794
1,11,1,1,267.586918979431919,1,163.371122895488
1,11,1,1,267.586918979431919,1,165.186357594326
1,11,1,1,267.586918979431919,1,212.315102752195
1,11,1,1,267.586918979431919,2,228.780355618692
1,11,1,1,275.111117396007255,2,167.670362971685
1,11,1,1,279.221132848102872,1,212.315102752195
1,11,1,1,279.221132848102872,1,212.315102752195
1,11,1,1,281.0917938611378475,1,208.52376163162
1,11,1,1,285.0382397824383485,2,165.186357594326
1,11,1,1,285.0382397824383485,2,182.042108369258
1,11,1,1,287.07247032626844,1,190.65029634891
1,11,1,1,287.07247032626844,1,242.645831716794
1,11,1,1,287.07247032626844,2,167.670362971685
1,11,1,1,287.07247032626844,2,189.627196217977
1,11,1,1,290.855346716773825,2,115.427747119223
1,11,1,1,290.855346716773825,2,182.042108369258
1,11,1,1,2938.505703200831115,2,72.2678068920351
1,11,1,1,299.033823256529625,1,189.627196217977
1,11,1,1,299.033823256529625,1,208.52376163162
1,11,1,1,302.489560585444778,2,163.371122895488
1,11,1,1,305.0144997216602175,2,189.627196217977
1,11,1,1,308.3066675197802545,2,171.27617722914
1,11,1,1,310.99517618679081,1,98.4983442084034
1,11,1,1,311.7969316803815404,2,165.186357594326
1,11,1,1,313.387446772843047,2,189.627196217977
1,11,1,1,314.123774454115731,1,115.427747119223
1,11,1,1,314.123774454115731,2,171.27617722914
1,11,1,1,314.123774454115731,2,212.315102752195
1,11,1,1,314.123774454115731,2,58.3213880181336
1,11,1,1,316.9758526519214025,1,189.627196217977
1,11,1,1,318.001845743672715333333333333333333333,1,58.3213880181336
1,11,1,1,319.3681232379736395,1,169.905967811307
1,11,1,1,32.5757988322786684,2,115.427747119223
1,11,1,1,321.879917033229699666666666666666666667,2,194.622177522845
1,11,1,1,322.956529117051995,2,98.4983442084034
1,11,1,1,325.757988322786684,1,115.427747119223
1,11,1,1,326.533602580698080866666666666666666667,2,182.042108369258
1,11,1,1,326.943646760472390000000000000000000001,1,167.670362971685
1,11,1,1,327.342358524814429499999999999999999999,1,190.65029634891
1,11,1,1,330.4116738702550652,2,171.27617722914
1,11,1,1,330.930764403892784999999999999999999999,2,168.940592994197
1,11,1,1,332.7385166439892558,1,165.186357594326
1,11,1,1,337.392202191457637,2,228.780355618692
1,11,1,1,340.8985585124437725,2,168.940592994197
1,11,1,1,343.2093091257931135,1,228.780355618692
1,11,1,1,343.2093091257931135,1,228.780355618692
1,11,1,1,343.2093091257931135,2,115.427747119223
1,11,1,1,346.879234977574365,1,168.940592994197
1,11,1,1,349.02641606012859,1,115.427747119223
1,11,1,1,349.02641606012859,1,115.427747119223
1,11,1,1,349.02641606012859,1,212.315102752195
1,11,1,1,352.8599114427049575,1,169.905967811307
1,11,1,1,357.6444526148094315,1,83.9474524503438
1,11,1,1,358.3337871550653524,1,182.042108369258
1,11,1,1,358.84058790783555,1,190.65029634891
