"","일자","종목코드","종목명","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물  일련번호","총카운트"
"1349",2019-09-20,"250930","예선테크","-",3520,"-","-","-","-",0,0,1349,NA
"1350",2019-09-20,"257730","신한제3호스팩","관리종목",2050,"-","-","-","-",0,0,1350,NA
"1351",2019-09-20,"001799","대한제당3우B","-",36450,"-","-","-","-",575,1.58,1351,NA
"1352",2019-09-20,"005110","한창","-",4460,"-","-","905","4.93",0,0,1352,NA
"1353",2019-09-20,"068400","AJ렌터카","-",12450,"172","72.38","11,150","1.12",0,0,1353,NA
"1354",2019-09-20,"001745","SK네트웍스우","-",89100,"-","-","-","-",145,0.16,1354,NA
"1355",2019-09-20,"000890","보해양조","-",1235,"-","-","718","1.72",0,0,1355,NA
"1356",2019-09-20,"001740","SK네트웍스","-",5330,"30","177.67","9,410","0.57",120,2.25,1356,NA
"1357",2019-09-20,"016385","동부제철우","관리종목",86700,"-","-","-","-",0,0,1357,NA
"1358",2019-09-20,"033250","체시스","-",4170,"-","-","1,186","3.52",0,0,1358,NA
"1359",2019-09-20,"027970","세하","-",1890,"180","10.5","908","2.08",0,0,1359,NA
"1360",2019-09-20,"001140","카리스국보","-",5650,"-","-","806","7.01",0,0,1360,NA
"1361",2019-09-20,"035720","카카오","-",135500,"623","217.5","61,602","2.2",127,0.09,1361,NA
"1362",2019-09-20,"010100","한국프랜지","-",2900,"49","59.18","6,833","0.42",0,0,1362,NA
"1363",2019-09-20,"027740","마니커","-",1360,"-","-","649","2.1",0,0,1363,NA
"1364",2019-09-20,"004310","현대약품","-",4945,"33","149.85","3,344","1.48",45,0.91,1364,NA
"1365",2019-09-20,"000050","경방","-",9960,"740","13.46","25,854","0.39",125,1.26,1365,NA
"1366",2019-09-20,"000075","삼양홀딩스우","-",44200,"-","-","-","-",2050,4.64,1366,NA
"1367",2019-09-20,"000105","유한양행우","-",206500,"-","-","-","-",2050,0.99,1367,NA
"1368",2019-09-20,"000140","하이트진로홀딩스","-",11450,"-","-","20,450","0.56",200,1.75,1368,NA
"1369",2019-09-20,"000180","성창기업지주","-",1860,"-","-","7,013","0.27",0,0,1369,NA
"1370",2019-09-20,"000215","대림산업우","-",42500,"-","-","-","-",1750,4.12,1370,NA
"1371",2019-09-20,"000220","유유제약","-",10800,"639","16.9","11,191","0.97",200,1.85,1371,NA
"1372",2019-09-20,"000225","유유제약1우","-",6850,"-","-","-","-",210,3.07,1372,NA
"1373",2019-09-20,"000320","노루홀딩스","-",11700,"-","-","27,104","0.43",450,3.85,1373,NA
"1374",2019-09-20,"000390","삼화페인트","-",5820,"32","181.88","10,625","0.55",125,2.15,1374,NA
"1375",2019-09-20,"000400","롯데손해보험","-",2170,"666","3.26","4,195","0.52",0,0,1375,NA
"1376",2019-09-20,"000430","대원강업","-",3880,"281","13.81","7,509","0.52",115,2.96,1376,NA
"1377",2019-09-20,"000490","대동공업","-",6920,"59","117.29","8,931","0.77",50,0.72,1377,NA
"1378",2019-09-20,"000500","가온전선","-",16900,"24","704.17","62,301","0.27",600,3.55,1378,NA
"1379",2019-09-20,"000520","삼일제약","-",22900,"-","-","8,628","2.65",100,0.44,1379,NA
"1380",2019-09-20,"000540","흥국화재","-",3430,"695","4.94","10,466","0.33",0,0,1380,NA
"1381",2019-09-20,"000545","흥국화재우","-",5040,"-","-","-","-",0,0,1381,NA
