"","종목코드","종목명","시장구분","산업분류","현재가.종가.","전일대비","시가총액.원.","일자","관리여부","종가","EPS","PER","BPS","PBR","주당배당금","배당수익률","게시물..일련번호","총카운트"
"189","023590","다우기술","코스피","서비스업",20350,300,913035655950,"2019-09-20","-",20300,"2,551","7.96","26,743","0.76",350,1.72,2091,NA
"190","241590","화승엔터프라이즈","코스피","기타제조",15050,50,911076883500,"2019-09-20","-",14450,"284","50.88","4,621","3.13",35,0.24,2202,NA
"191","140410","메지온","코스닥","기타서비스",104400,4500,907178788800,"2019-09-20","-",100200,"-","-","6,633","15.11",0,0,1279,NA
"192","002350","넥센타이어","코스피","화학",9190,70,897567789630,"2019-09-20","-",9090,"1,008","9.02","13,678","0.66",100,1.1,1987,NA
"193","069260","휴켐스","코스피","화학",21750,200,889109289000,"2019-09-20","-",21750,"2,693","8.08","15,836","1.37",1200,5.52,2143,NA
"194","178920","SKC코오롱PI","코스닥","화학",30000,-550,880989660000,"2019-09-20","-",31100,"1,191","26.11","8,810","3.53",830,2.67,1283,NA
"195","003520","영진약품","코스피","의약품",4805,80,878799572455,"2019-09-20","-",4805,"-","-","610","7.88",0,0,2000,NA
"196","185750","종근당","코스피","의약품",84600,200,877326534000,"2019-09-20","-",85800,"4,112","20.87","41,379","2.07",900,1.05,2194,NA
"197","005610","SPC삼립","코스피","음식료품",1e+05,1400,862900900000,"2019-09-20","-",98800,"5,199","19","36,397","2.71",1004,1.02,2024,NA
"198","214150","클래시스","코스닥","의료·정밀기기",13650,600,857631042450,"2019-09-20","-",13100,"242","54.13","824","15.9",14,0.11,1155,NA
"199","049770","동원F&B","코스피","음식료품",221000,-1500,852866404000,"2019-09-20","-",223500,"14,699","15.21","163,896","1.36",3000,1.34,2131,NA
"200","006650","대한유화","코스피","화학",131000,1000,8.515e+11,"2019-09-20","-",133000,"41,679","3.19","261,707","0.51",4000,3.01,2038,NA
"201","058470","리노공업","코스닥","IT H/W",55500,500,845951535000,"2019-09-20","-",55000,"3,219","17.09","17,244","3.19",1100,2,1228,NA
"202","018250","애경산업","코스피","화학",31750,50,836502486250,"2019-09-20","-",31200,"2,411","12.94","11,768","2.65",450,1.44,2081,NA
